id,sexo,edad,nivel_esc,esc_cve,lenguaje,cognitivas,sociales,tecnicas,puesto,trabajos_n,palabras_n,validaciones_n,contactos_n,rimbo_n,sostenimiento,experiencia,atractivo,confiable
6065,2,32,2,1623,1,9,11,2,4,13,138,95,326,0,0,0,,
6066,2,35,2,710,1,0,1,1,2,12,105,70,500,0,1,0,3,1
6067,1,34,2,590,1,0,1,2,4,11,132,128,500,0,0,0,5,1
6068,2,30,2,590,1,4,13,1,3,16,147,24,322,3,0,0,4,1
6069,2,35,1,590,1,7,17,7,4,13,226,88,500,4,0,0,3,1
6070,1,33,2,590,1,2,1,0,4,14,87,6,300,1,0,0,5,1
6071,1,34,2,590,1,9,13,10,4,24,363,86,500,1,0,1,5,1
6072,2,30,2,590,1,3,5,3,1,27,205,469,500,0,0,0,,
6073,1,32,1,590,1,3,6,1,4,6,68,37,500,0,0,0,,
6074,2,34,2,590,1,13,11,4,4,17,255,629,500,0,0,1,,
6075,1,34,1,590,1,3,8,4,4,18,88,123,500,1,0,1,5,1
6076,2,35,1,3400,1,6,6,0,1,22,196,278,500,0,1,0,,
6077,1,30,2,1635,1,2,8,1,2,13,33,0,500,0,0,0,2,0
6078,2,33,2,590,1,9,7,10,4,12,273,222,500,5,0,1,5,1
6079,2,35,2,590,1,5,4,2,4,22,156,9,500,2,0,1,,
6080,2,36,2,590,1,9,3,3,3,16,115,60,272,0,0,1,,
6081,1,36,1,590,1,16,11,6,4,20,344,239,500,0,0,0,,
6082,2,31,2,590,1,5,4,7,3,22,23,46,500,4,0,0,,
6083,2,35,2,590,1,5,4,2,2,20,154,408,500,0,0,0,2,0
6085,2,34,1,1870,1,7,10,2,2,30,202,500,500,1,0,0,,
6086,2,33,2,651,1,8,6,1,3,20,316,224,500,0,0,0,4,1
6087,2,31,2,712,1,1,0,1,3,14,45,2,500,0,1,1,,
6088,2,36,2,590,1,12,5,4,4,10,169,148,500,0,0,1,5,1
6089,2,33,1,712,1,2,9,3,4,24,114,29,340,0,1,0,,
6090,2,31,1,627,1,1,2,0,4,14,43,21,139,0,0,0,,
6091,2,35,1,627,1,7,10,3,4,12,216,242,386,0,0,0,3,1
