id,entidad,sexo,edad,nivel_esc,esc_cve,lenguaje,cognitivas,sociales,tecnicas,puesto,trabajos_n,palabras_n,validaciones_n,contactos_n,rimbo_n,sostenimiento,experiencia,atractivo,confiable
2056,Sur,1,34,1,1635,0,0,0,0,4,16,8,0,592,0,0,0,2,0
2058,Centro,2,33,1,1635,0,0,3,4,4,14,136,0,173,0,0,0,3,1
2059,Centro,2,36,2,1635,1,5,3,0,4,11,76,18,575,0,0,1,3,1
2060,Centro,1,33,1,1635,1,5,1,0,1,4,37,0,215,0,0,1,3,1
2063,Centro,2,35,2,2213,1,0,1,1,2,10,55,0,37,0,1,0,2,0
2064,Norte,1,30,1,2213,1,0,4,0,3,15,21,0,170,0,1,0,2,0
2065,Centro,2,31,2,2213,1,6,11,4,2,12,229,84,477,2,1,1,3,1
2066,Norte,2,35,2,2213,1,2,3,0,4,16,96,0,198,0,1,1,3,1
2067,Centro,1,35,2,2213,1,3,2,1,4,14,100,26,192,1,1,1,3,1
2068,Centro,2,31,2,2213,1,0,5,5,4,24,37,4,234,0,1,1,3,1
2069,Centro,1,35,1,2213,1,0,2,0,4,5,13,10,168,0,1,0,3,1
2070,Norte,1,36,2,2213,1,5,6,3,4,8,133,22,277,0,1,0,2,0
2071,Centro,2,35,2,2213,1,6,7,1,4,20,485,0,200,0,1,0,3,1
2072,Centro,2,36,1,2213,1,5,10,2,4,17,153,167,500,1,1,1,4,1
2073,Centro,1,36,2,2213,1,2,9,3,4,10,183,110,500,0,1,1,3,1
2074,Centro,1,31,2,2213,1,0,2,0,4,7,47,43,500,0,1,0,2,0
2083,Centro,1,40,2,1434,1,9,13,6,4,14,389,351,500,2,1,0,4,1
2084,Centro,2,34,2,1453,1,3,4,2,4,18,131,24,244,0,1,0,1,0
2087,Centro,2,33,1,1771,1,0,8,0,4,7,89,28,88,0,1,0,3,1
2088,Centro,1,31,2,1771,1,5,2,1,4,6,170,0,17,0,1,0,2,0
2090,Centro,2,32,2,1649,1,0,7,5,4,10,158,116,259,0,0,0,2,0
2091,Centro,2,33,1,1635,1,10,13,4,4,22,314,416,500,2,0,1,5,1
2092,Centro,2,30,2,1649,1,0,3,0,4,8,54,0,25,0,0,0,1,0
2093,Centro,2,31,2,1649,1,3,0,2,4,13,76,14,137,0,0,1,3,1
2095,Centro,1,31,2,1649,1,4,2,1,4,10,66,0,346,0,0,1,2,0
2097,Centro,2,33,2,1649,0,5,3,4,2,16,37,0,193,0,0,0,1,0
2098,Centro,1,31,2,1649,0,2,6,5,4,10,196,0,276,0,0,1,3,1
2099,Centro,1,30,2,1649,1,0,3,1,4,16,29,0,242,0,0,0,1,0
2100,Centro,2,30,1,1649,1,0,0,0,4,10,50,13,256,0,0,0,1,0
2101,Centro,1,30,2,1649,0,0,0,0,4,11,46,0,15,0,0,0,2,0
2102,Centro,2,31,2,1649,1,0,0,0,3,7,19,6,397,0,0,0,2,0
2104,Centro,2,32,2,1649,1,5,5,2,4,12,269,33,500,3,0,1,3,1
2105,Centro,1,28,2,1649,1,2,3,0,2,9,19,0,145,1,0,0,1,0
2106,Centro,1,31,2,1649,1,6,6,2,4,10,154,32,500,0,0,1,3,1
2107,Centro,1,33,2,1649,1,2,6,3,4,10,41,0,130,0,0,1,3,1
3002,Centro,2,33,2,712,0,0,0,0,4,14,9,2,167,0,1,0,2,0
3004,Centro,2,34,1,2169,1,10,11,1,4,22,132,151,500,3,0,0,2,0
3005,Centro,2,36,2,853,0,0,0,0,4,5,5,0,500,0,1,0,1,0
3006,Centro,2,31,1,2169,1,4,4,1,4,28,87,97,500,4,0,0,3,0
3007,Centro,2,36,2,1453,1,0,2,0,1,19,85,124,500,0,1,0,1,0
3008,Centro,1,30,1,651,1,10,8,2,4,12,92,26,164,5,0,0,3,0
3009,Centro,2,30,2,2422,1,0,5,0,4,8,21,17,500,0,0,0,1,0
3010,Centro,2,34,2,1623,1,0,1,3,4,6,82,0,49,0,0,0,2,0
3011,Centro,1,35,2,693,1,4,0,0,4,10,92,17,204,3,1,0,2,0
3012,Centro,1,33,1,712,1,5,3,0,4,10,94,65,169,0,1,0,2,0
3013,Centro,2,34,1,1056,1,0,2,2,4,5,43,39,344,0,1,0,1,0
3014,Centro,2,34,1,712,1,0,3,0,4,16,48,66,500,0,1,1,3,1
3015,Centro,2,31,2,1623,1,2,3,1,4,8,25,8,500,0,0,0,2,0
3016,Centro,1,35,2,632,1,0,0,2,4,9,14,17,379,0,0,0,1,0
3017,Norte,2,35,2,1902,0,0,1,0,4,9,30,0,321,0,1,0,2,0
3018,Centro,1,36,2,2169,1,10,5,1,4,10,91,38,500,0,0,0,3,1
3019,Centro,1,34,2,855,1,0,0,0,4,22,47,10,259,0,1,1,2,0
3020,Centro,2,35,2,2169,1,3,3,0,2,16,55,36,500,3,0,1,5,0
3022,Centro,2,35,1,712,1,0,0,0,4,8,21,11,167,0,1,1,2,0
3023,Centro,2,34,2,1187,1,0,0,0,4,10,46,0,500,0,1,1,3,1
3025,Sur,1,36,1,806,1,0,3,0,4,14,67,53,500,0,1,1,3,1
3026,Sur,1,31,2,627,1,2,4,0,4,6,40,13,139,0,0,0,3,1
3027,Centro,1,34,1,2213,0,0,0,0,4,14,27,0,500,0,1,0,3,0
3029,Extranjero,1,35,2,465,1,0,0,1,4,10,12,4,500,0,1,0,1,0
3037,Centro,2,32,1,1623,1,0,0,0,4,14,26,8,263,0,0,0,3,1
3038,Centro,1,34,2,2169,0,2,4,1,2,12,97,0,500,2,0,1,3,0
3039,Centro,2,34,2,484,1,0,4,0,4,10,18,8,423,0,0,0,1,0
3040,Centro,2,35,2,2169,1,1,3,0,4,8,43,35,438,1,0,1,3,0
3041,Centro,1,34,2,627,1,0,0,1,4,10,56,32,500,2,0,0,2,0
3042,Centro,1,37,2,590,1,2,2,0,4,19,30,13,209,0,0,0,3,1
3043,Centro,2,36,2,2169,0,2,0,0,4,10,26,0,452,0,0,0,3,1
3045,Centro,2,33,2,2897,0,0,0,2,4,5,16,0,180,0,1,1,2,0
3046,Centro,2,33,2,1402,1,3,0,3,4,10,23,2,260,1,0,1,3,1
3047,Extranjero,2,34,2,627,1,0,4,1,4,10,28,31,500,0,0,0,1,0
3052,Extranjero,2,36,2,810,1,0,0,2,4,14,47,11,486,2,1,0,3,0
3054,Centro,2,32,2,3258,1,0,0,0,4,10,61,109,500,0,0,0,3,1
3055,Centro,2,31,2,1623,1,2,0,0,4,7,51,48,500,0,0,0,2,0
3056,Extranjero,1,33,1,645,1,0,2,1,4,16,29,2,467,0,0,1,3,0
3057,Extranjero,1,36,1,712,1,0,0,0,4,16,55,65,500,0,1,0,2,0
3063,Sur,2,33,2,3400,1,5,2,0,4,7,26,9,160,0,1,0,3,1
3064,Centro,1,35,2,649,0,2,2,1,4,26,79,0,500,1,0,1,3,0
3065,Centro,1,30,2,710,0,2,4,1,4,10,33,0,75,0,1,0,3,1
3067,Centro,2,35,2,693,1,5,0,3,4,4,34,0,44,0,1,1,3,1
3068,Sur,2,33,2,3400,1,0,0,1,2,6,14,0,12,0,1,0,2,0
3069,Centro,1,29,2,1667,0,0,0,0,4,2,11,0,28,0,0,0,2,0
3070,Centro,1,33,2,2948,1,0,1,0,4,10,84,85,500,0,1,0,2,0
3071,Centro,1,32,2,3386,0,2,0,0,4,10,40,0,269,1,1,1,3,1
3072,Centro,2,36,1,2213,1,1,2,0,4,8,48,0,178,0,1,0,2,0
3073,Centro,1,35,2,1273,1,0,3,0,4,14,52,1,500,2,1,1,1,1
3074,Norte,2,36,2,144,1,0,4,2,2,10,31,2,320,0,1,1,3,1
3075,Centro,2,33,2,712,1,2,0,2,4,14,33,2,93,3,1,1,3,1
3076,Centro,1,33,2,1453,0,5,2,0,4,10,22,0,500,0,1,0,2,0
3077,Centro,2,29,2,511,1,0,2,0,4,13,49,14,359,2,0,1,3,0
3079,Centro,2,30,2,1019,1,0,0,0,4,5,41,7,209,0,0,0,1,0
3082,Centro,1,34,1,712,1,0,0,1,4,9,23,9,207,0,1,0,1,1
3084,Centro,1,34,2,40,0,0,0,0,4,13,5,0,500,0,1,0,1,0
3085,Centro,2,32,1,2169,1,0,3,0,4,10,59,28,500,0,0,0,2,0
3086,Centro,1,35,2,2169,0,0,1,0,2,14,6,6,500,0,0,0,3,0
3088,Centro,2,35,2,650,1,0,3,1,2,14,21,13,443,0,0,0,1,0
3089,Centro,1,33,1,2169,1,0,0,0,4,13,37,30,500,0,0,0,3,1
3090,Centro,1,31,2,693,0,0,0,0,4,10,44,0,264,0,1,0,2,0
3091,Centro,1,32,1,645,1,0,2,0,2,7,61,8,500,0,0,0,2,0
3093,Centro,1,32,2,1668,1,0,1,1,4,9,36,0,6,0,0,0,3,1
3094,Sur,1,35,2,3400,1,0,0,1,4,10,35,9,411,0,1,0,3,1
3095,Centro,2,30,1,1623,1,3,4,1,4,10,34,18,209,0,0,1,2,0
3097,Centro,2,32,2,712,1,3,1,2,4,10,68,4,500,0,1,1,3,1
3098,Centro,1,35,1,2169,1,1,1,0,2,18,48,76,500,0,0,0,4,0
3099,Sur,2,36,2,3400,0,0,0,0,4,8,8,0,114,0,1,0,3,0
3100,Centro,1,28,2,1066,1,2,1,1,4,10,33,0,30,2,1,1,3,1
3101,Norte,2,31,2,450,1,0,0,2,4,14,62,28,116,0,1,1,3,1
3102,Norte,1,32,2,2213,1,3,2,0,4,10,31,9,479,0,1,1,2,0
3103,Centro,2,33,1,1024,1,0,0,0,4,2,48,5,358,2,0,0,3,1
3104,Centro,1,35,2,1056,1,0,0,0,4,6,31,5,113,0,1,0,2,0
3106,Centro,2,34,2,712,1,1,0,0,1,21,31,0,242,0,1,0,4,0
3107,Centro,2,31,2,1771,1,0,2,0,4,10,47,18,125,2,1,1,4,1
3108,Centro,2,31,2,3350,1,2,0,1,4,8,21,0,500,0,0,0,2,0
3109,Centro,2,29,2,2422,1,2,2,1,4,26,32,6,500,0,0,0,3,0
3110,Centro,1,33,1,1635,1,0,0,0,4,12,66,0,340,0,0,1,2,0
3111,Sur,1,33,1,3371,1,0,0,0,4,10,76,57,500,2,1,1,3,0
3112,Centro,2,31,2,651,1,0,1,0,4,9,16,0,75,0,0,0,2,0
3113,Centro,1,30,2,1897,1,0,1,1,2,14,9,0,63,0,1,0,3,0
3115,Centro,1,34,2,1755,1,0,0,0,2,10,20,5,114,0,1,0,2,1
3116,Centro,1,32,2,2213,1,1,0,0,4,10,119,10,313,0,1,0,2,0
3118,Centro,2,33,1,2536,0,0,0,0,4,10,4,0,113,0,0,0,1,0
3119,Centro,2,32,1,712,1,0,4,0,4,12,57,9,362,0,1,0,2,0
3120,Centro,2,35,1,712,1,2,0,0,4,14,41,0,300,0,1,1,3,1
3121,Centro,1,32,2,712,1,0,0,0,1,14,59,48,500,0,1,1,3,1
3122,Centro,1,27,2,712,1,2,1,1,4,8,65,0,113,1,1,1,2,0
3123,Centro,2,30,2,712,1,3,1,0,2,10,72,0,500,0,1,0,1,0
3124,Centro,1,33,1,1453,1,2,1,2,4,10,50,3,199,2,1,0,5,1
3125,Centro,1,33,2,1453,1,4,2,1,4,10,83,73,500,0,1,1,4,1
3126,Centro,1,31,2,1771,1,0,0,0,3,10,20,0,254,0,1,0,2,0
3127,Centro,2,29,2,1453,1,4,0,4,4,4,70,0,66,3,1,1,3,1
3128,Norte,1,35,2,1453,1,0,0,0,4,10,50,2,288,0,1,0,5,1
3129,Centro,2,31,2,1453,1,3,1,0,3,23,72,22,500,0,1,0,3,1
3130,Norte,1,31,2,2897,1,0,0,0,4,10,57,5,109,0,1,1,3,1
3131,Centro,2,30,1,2897,1,0,0,0,4,7,27,0,155,0,1,0,2,0
3132,Centro,1,31,2,2897,1,2,2,0,2,8,16,2,121,0,1,0,2,0
3133,Centro,2,35,2,2897,1,1,2,3,4,10,77,0,500,0,1,1,3,1
3134,Centro,1,31,2,2897,1,1,1,1,4,8,51,3,500,0,1,0,3,1
3135,Centro,1,31,1,2897,0,0,0,0,4,7,4,0,500,0,1,0,2,0
3136,Centro,2,31,2,147,1,0,0,0,4,14,46,11,300,0,1,0,1,0
3137,Centro,2,30,1,147,1,0,1,1,4,8,19,2,250,0,1,0,2,0
3138,Norte,1,31,2,147,0,0,1,5,4,10,54,0,191,3,1,0,2,0
3139,Norte,1,34,1,147,1,2,1,0,4,14,50,13,500,0,1,1,1,0
3140,Norte,1,31,1,147,0,0,1,0,4,16,32,0,219,5,1,1,5,1
3141,Centro,2,32,2,147,0,0,0,0,2,8,5,0,353,0,1,0,1,0
3142,Centro,2,31,2,147,0,0,0,0,4,10,14,0,175,0,1,0,2,1
3143,Centro,2,30,2,651,1,0,1,3,4,4,41,0,43,0,0,0,2,0
3144,Centro,1,35,2,651,1,0,0,1,4,4,57,20,500,0,0,1,3,1
3145,Centro,2,29,1,651,0,2,2,1,4,13,28,0,66,0,0,1,3,1
3146,Centro,1,33,2,651,0,4,0,0,4,10,52,0,208,0,0,1,3,1
3147,Centro,1,31,2,651,1,1,0,1,2,14,38,0,401,0,0,0,3,1
3148,Norte,2,34,1,2958,1,0,2,0,2,7,49,0,29,0,1,0,3,1
3149,Centro,1,33,2,2958,1,1,0,1,4,12,49,36,265,2,1,0,2,0
3150,Centro,2,33,2,2958,1,0,2,0,4,10,10,0,265,0,1,0,2,0
3151,Centro,1,33,2,2948,1,0,0,0,4,10,69,0,342,0,1,1,2,1
3152,Norte,2,32,2,2958,0,0,0,0,4,16,3,0,500,0,1,0,1,0
3153,Centro,2,31,2,3400,1,1,0,0,4,10,39,0,83,0,1,1,3,1
3154,Centro,2,32,1,3400,1,0,1,2,4,8,64,0,162,0,1,0,2,1
3155,Centro,1,35,2,3400,1,0,1,4,4,10,68,0,481,3,1,1,5,1
3156,Centro,2,33,1,3400,1,0,0,2,2,12,104,0,304,0,1,0,3,1
3157,Sur,2,35,1,3400,1,1,0,1,4,10,35,11,166,0,1,1,3,1
3158,Norte,1,31,2,3400,1,0,3,0,4,10,31,0,456,1,1,1,5,1
3159,Sur,2,31,1,3400,1,0,0,1,4,8,9,0,141,0,1,0,1,0
3160,Centro,1,30,2,3400,0,0,1,0,4,8,26,0,435,3,1,0,4,1
3161,Centro,2,32,1,3400,1,0,0,1,4,14,63,2,118,0,1,1,3,1
3162,Centro,2,35,2,3400,1,0,0,2,2,10,9,0,65,1,1,0,1,0
3163,Centro,1,32,1,3400,0,0,2,2,2,10,32,0,500,2,1,0,3,1
3164,Centro,1,30,2,3400,1,1,2,0,4,12,81,0,445,0,1,1,3,0
3165,Sur,1,35,2,3400,1,0,2,0,4,3,17,0,257,0,1,0,3,1
3166,Centro,1,33,2,630,1,0,1,1,4,4,14,0,30,0,0,0,2,0
3167,Centro,1,29,2,630,1,0,0,0,4,6,12,0,13,0,0,0,1,0
3168,Centro,2,30,2,630,1,0,1,0,4,9,21,23,222,0,0,0,2,0
3169,Norte,2,36,2,147,1,10,0,0,4,8,61,0,279,0,1,0,5,1
3170,Centro,2,37,2,147,1,2,0,1,4,8,51,2,376,0,1,0,2,0
3171,Centro,1,34,2,147,1,0,3,0,2,8,6,6,500,0,1,0,3,1
3172,Centro,2,30,1,147,1,0,1,0,4,14,60,39,500,0,1,1,3,1
3173,Sur,1,31,1,3490,1,0,5,2,4,8,24,7,136,0,1,0,2,0
3174,Centro,1,31,2,1792,1,0,0,0,4,5,31,8,170,0,1,0,2,0
3175,Centro,1,35,2,1792,1,0,0,0,4,10,22,0,217,0,1,0,1,0
3176,Centro,1,31,1,1792,1,0,0,0,4,9,31,48,121,0,1,0,1,0
3177,Norte,1,35,2,895,0,5,3,1,4,17,21,7,500,0,1,0,2,0
3178,Norte,1,35,1,895,0,0,0,0,4,8,43,0,166,0,1,1,2,0
3179,Norte,1,31,1,895,1,0,4,0,4,18,88,5,181,3,1,1,4,1
3180,Centro,2,28,2,895,1,0,0,0,2,8,28,0,500,0,1,0,1,0
3181,Centro,1,35,1,895,1,3,0,1,2,14,73,5,166,0,1,0,2,0
3182,Centro,1,36,2,895,0,0,0,0,2,5,16,0,88,0,1,0,2,0
3183,Norte,1,34,1,895,1,0,0,0,4,10,46,0,46,0,1,0,1,0
3184,Centro,1,31,2,895,1,0,1,0,4,9,57,24,318,0,1,0,4,1
3185,Centro,1,34,2,2309,1,0,0,0,3,10,10,1,241,1,1,0,2,0
3186,Sur,2,35,2,2309,1,3,2,0,4,16,50,10,72,0,1,1,3,1
3187,Sur,2,35,1,2309,1,1,3,0,2,10,42,0,473,0,1,0,1,0
3188,Centro,1,32,2,2309,1,0,0,0,4,14,21,5,327,0,1,0,1,0
3189,Centro,2,31,1,2309,1,2,0,0,2,9,41,1,266,0,1,0,2,0
3190,Centro,1,33,2,2309,1,0,0,1,4,9,45,10,500,0,1,1,3,1
3191,Centro,1,36,2,2309,1,2,0,0,4,14,44,0,422,0,1,1,3,1
3192,Centro,2,31,1,2309,1,0,2,0,4,10,23,6,235,0,1,0,1,0
3193,Centro,1,31,2,2309,1,0,0,0,2,10,23,32,431,0,1,0,1,0
3194,Centro,1,34,1,167,1,0,1,0,4,10,42,0,500,0,1,1,3,1
3195,Centro,1,30,1,170,1,1,0,2,4,10,46,32,219,0,1,0,2,0
3196,Centro,1,35,2,170,1,0,0,2,4,8,56,2,48,0,1,0,3,1
3197,Norte,2,32,2,170,1,0,2,4,4,8,48,0,150,0,1,0,3,1
3198,Centro,2,31,2,170,1,1,3,1,4,10,38,15,431,0,1,0,2,0
3199,Centro,1,33,2,170,1,0,0,0,4,8,77,5,214,0,1,1,3,1
3200,Norte,1,32,2,170,1,0,3,0,4,10,80,5,193,0,1,1,2,0
3201,Norte,1,32,2,170,1,0,0,0,4,11,33,0,92,0,1,0,2,0
3202,Norte,2,34,2,170,1,1,0,0,4,14,30,3,91,2,1,0,3,1
3203,Centro,1,36,2,170,1,0,0,0,4,14,46,62,392,0,1,0,1,0
3204,Norte,1,34,2,170,1,0,3,1,4,14,40,0,118,0,1,1,3,1
3205,Norte,2,30,2,170,1,0,1,1,4,12,45,0,45,0,1,0,2,0
3207,Centro,2,32,1,170,0,0,3,0,4,8,7,0,83,0,1,0,1,0
3208,Centro,1,31,2,170,1,2,2,0,4,6,20,0,174,0,1,0,2,0
3210,Sur,2,30,2,329,0,0,0,0,4,12,54,0,4,1,0,1,2,0
3211,Sur,2,29,2,329,1,0,0,1,4,8,10,0,86,0,0,0,1,0
3212,Centro,1,35,2,329,1,0,1,1,4,10,58,3,394,3,0,1,4,1
3213,Centro,2,35,2,329,1,0,0,0,4,10,71,0,275,0,0,0,4,1
3214,Centro,1,33,1,329,1,0,1,0,4,10,49,0,174,2,0,1,3,0
3215,Centro,1,31,2,329,1,2,1,1,4,7,27,0,246,0,0,0,3,1
3216,Sur,2,29,1,329,1,2,0,0,3,10,48,8,58,0,0,1,3,1
3217,Centro,1,32,1,329,1,0,3,0,2,2,15,2,500,0,0,0,2,0
3218,Centro,1,35,2,329,0,2,0,0,4,10,42,1,500,3,0,0,3,1
3219,Centro,1,34,2,329,1,0,6,3,4,9,40,7,500,0,0,1,1,0
3220,Sur,1,34,1,329,1,0,1,0,4,8,13,0,111,0,0,0,2,0
3221,Centro,1,34,1,3103,0,0,1,0,3,22,58,2,109,0,0,0,3,1
3222,Centro,1,34,2,3103,1,1,0,0,4,14,82,18,500,0,0,0,3,1
3223,Centro,1,36,2,3103,1,0,3,1,2,10,28,9,438,0,0,0,1,0
3224,Centro,2,30,2,3103,1,5,0,0,3,14,26,2,459,0,0,0,3,1
3225,Centro,1,32,2,3103,0,0,1,0,4,6,40,0,37,0,0,0,4,1
3226,Centro,2,35,1,3103,0,2,0,2,4,10,51,2,391,3,0,0,5,0
3227,Centro,1,31,2,3103,1,2,5,1,4,10,61,0,270,2,0,1,3,1
3228,Sur,1,34,2,3103,1,2,2,0,4,14,36,2,182,1,0,0,3,1
3229,Sur,1,33,2,3103,1,0,0,0,4,10,30,0,444,0,0,0,2,1
3230,Sur,2,35,1,3103,1,0,0,0,4,12,48,5,500,0,0,0,2,1
3231,Centro,1,30,2,3103,0,0,0,1,4,4,6,0,64,0,0,0,1,0
3232,Sur,2,35,1,3103,1,4,1,0,4,5,37,10,500,0,0,1,3,1
3233,Centro,2,32,2,2557,1,0,1,0,4,10,23,2,500,0,1,0,4,1
3234,Sur,1,32,2,3322,1,2,0,0,4,14,49,0,500,0,0,1,3,0
3236,Centro,2,32,2,3322,0,0,0,0,4,16,5,0,476,0,0,0,2,0
3237,Sur,1,29,2,3322,1,0,0,1,4,8,55,3,265,0,0,1,2,0
3238,Centro,2,34,2,3322,1,2,4,0,4,10,42,0,401,0,0,0,2,0
3239,Centro,1,33,1,3322,0,0,1,0,2,13,20,0,421,0,0,0,5,0
3240,Sur,2,33,2,3322,0,0,1,0,4,10,30,14,80,0,0,1,3,1
3241,Sur,2,32,2,3322,1,0,1,0,4,14,78,0,186,0,0,0,2,0
3242,Centro,1,31,2,3322,1,3,0,1,4,8,37,2,450,0,0,1,3,1
3243,Centro,2,31,2,3322,1,2,2,0,3,14,40,0,92,0,0,1,3,1
3244,Centro,1,31,2,3322,1,0,0,0,4,9,40,0,197,1,0,0,3,1
3245,Centro,1,32,2,3322,1,0,2,0,4,11,18,1,177,0,0,0,2,0
3246,Centro,1,35,2,3322,0,0,0,0,4,8,62,0,500,0,0,1,3,1
3247,Sur,2,,1,3322,1,0,0,1,1,6,46,16,500,0,0,0,2,0
3248,Sur,2,32,2,3322,0,4,3,0,4,10,31,0,102,0,0,0,2,0
3249,Centro,1,34,2,645,0,0,0,0,4,14,6,0,162,0,0,0,2,0
3250,Centro,2,33,1,2169,1,3,2,0,4,8,66,0,196,0,0,1,4,1
3252,Centro,2,32,1,645,1,1,2,0,4,14,69,0,500,3,0,0,3,0
3253,Centro,2,35,2,645,0,0,0,0,4,5,3,0,176,0,0,0,2,0
3254,Centro,2,31,2,645,1,0,0,0,2,16,14,0,172,0,0,0,3,1
3255,Centro,2,34,1,645,1,0,3,1,3,10,63,2,500,1,0,0,3,1
3256,Centro,2,30,2,712,1,2,1,0,1,10,15,0,476,0,1,0,4,1
3257,Centro,1,31,1,1770,0,0,0,0,4,4,4,0,172,0,1,0,2,0
3258,Centro,2,35,1,1770,1,0,0,1,1,2,51,10,76,0,1,0,3,1
3259,Centro,1,30,1,1770,1,3,2,2,4,9,29,0,500,0,1,0,3,1
3260,Centro,2,36,2,1770,1,0,1,1,2,10,81,30,500,0,1,0,3,1
3261,Centro,1,34,1,1770,1,3,0,0,4,14,64,0,293,1,1,0,3,1
3262,Centro,2,33,2,1770,1,2,0,2,4,10,35,0,88,0,1,0,3,1
3263,Centro,2,33,2,1770,1,2,0,2,4,7,17,6,187,0,1,0,2,0
3264,Norte,1,32,1,144,1,5,4,0,4,10,92,155,500,1,1,1,3,1
3265,Norte,2,37,1,144,0,0,0,1,4,9,6,0,33,0,1,0,2,0
3266,Norte,2,36,2,144,1,0,3,0,4,10,33,39,182,0,1,0,3,1
3267,Norte,1,31,1,144,1,4,1,0,2,6,83,0,69,1,1,1,3,1
3268,Centro,2,30,2,144,1,0,0,0,4,9,54,28,500,0,1,0,3,1
3269,Centro,1,30,2,144,0,0,0,0,4,4,25,17,410,1,1,0,2,1
3270,Norte,1,35,2,144,0,0,0,0,4,10,41,0,500,0,1,0,2,0
3271,Norte,1,34,2,144,1,1,1,1,2,16,65,3,500,0,1,0,2,0
3272,Norte,1,32,2,465,1,2,2,0,4,8,43,0,210,0,1,0,3,0
3273,Norte,1,32,2,465,1,3,0,1,4,10,17,0,235,0,1,0,3,1
3274,Norte,1,34,2,465,1,0,4,1,4,3,34,0,321,0,1,1,3,1
3275,Centro,2,34,2,1757,0,2,5,0,4,10,35,0,27,0,1,1,3,0
3277,Centro,1,35,2,1757,1,2,2,1,4,14,69,29,393,0,1,1,5,1
3278,Centro,2,33,2,1757,0,0,1,0,3,10,17,0,485,0,1,0,2,0
3279,Centro,2,33,2,1757,1,3,2,0,4,4,20,2,87,0,1,1,2,0
3280,Centro,2,31,2,1757,1,2,4,0,4,12,45,4,101,0,1,1,3,1
3281,Centro,1,32,2,1757,1,0,0,2,4,10,41,0,54,0,1,1,3,1
3282,Centro,1,30,2,1757,0,0,1,4,4,10,35,0,112,0,1,0,4,1
3283,Centro,2,34,2,1757,1,0,2,1,2,6,56,0,28,0,1,1,3,1
3284,Centro,2,32,2,2891,1,0,1,0,4,6,21,0,98,0,1,0,3,1
3285,Centro,1,31,2,2891,0,0,0,0,4,10,29,10,500,0,1,1,3,1
3286,Centro,2,34,1,3369,1,3,0,0,4,12,14,0,159,0,1,0,3,1
3287,Centro,2,31,2,1047,1,0,0,1,4,10,31,5,141,0,1,0,4,1
3288,Centro,1,36,1,1047,1,0,4,0,4,14,29,16,500,1,1,0,4,1
